
75,Sheikh Rashid Bin Saeed Islamic Institute,AL ROWAIYAH FIRST,GRADE 5 - GRADE 12 Academic CalendarFees Fact Sheet
76,Al Mawakeb School Al Garhoud L.L.C,AL GARHOUD,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
77,Al Mawakeb School Al Barsha L.L.C,AL BARSHA SECOND,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
78,Al Ittihad Private School,AL MAMZAR,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
79,Al Ittihad Private School (Br),AL SAFA FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
80,Mirdif American School,AL MIZHAR FIRST,Pre primary - GRADE 8 
81,Dubai International Private School - Br,AL QOUZ FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
82,Dubai National School AlTwar L.L.C,AL TWAR FIRST,ECC (0-1) - GRADE 12 Academic CalendarFees Fact Sheet
83,Dubai National School L.L.C,AL BARSHA FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
84,GEMS Al Khaleej International School - Dubai Branch,AL WARQA FOURTH,"Pre primary - GRADE 12,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet"
85,New Academy School,AL RAFFA,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
86,American International School,AL QUSAIS FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
87,American School Dubai,AL BARSHA SECOND,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
88,Himayah Kindergarten For Education- Karama,AL KARAMA,KG 1 - KG 2 Academic CalendarFees Fact Sheet
89,The School of Research Science L.L.C,AL WARQA FOURTH,"FS 1 - YEAR 13,GRADE 8 - GRADE 12 Academic CalendarFees Fact Sheet"
90,Al Salam Private School,AL NAHDA SECOND,FS 1 - YEAR 9 Academic CalendarFees Fact Sheet
91,Oxford School,MUHAISANAH FOURTH,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
92,ST. Mary Catholic High School - Dubai,UMM HURAIR FIRST,YEAR 1 - YEAR 13 Academic CalendarFees Fact Sheet
93,Cambridge International School,AL TWAR FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
94,The City School International Private,NADD AL HAMAR,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
95,Apple International School,AL QUSAIS FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
96,M S B Private School,AL NAHDA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
97,Al Diyafah High School L.L.C,AL NAHDA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
98,Pristine Private School,AL NAHDA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
99,Dubai Gem Private School,OUD METHA,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
100,Dubai Scholars Private School,AL QUSAIS FIRST,ECC (2-3) - YEAR 13 Academic CalendarFees Fact Sheet
101,The Westminster School - DUBAI BRANCH,AL QUSAIS FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
102,The Sheffield Private School L.L.C,AL NAHDA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
